Cmdline: /system/bin/simpleperf record --app com.dualboot.apps.beach --add-meta-info app_type=debuggable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -p 10208 -e cpu-clock:u -f 500 --call-graph fp --duration 12
Arch: arm64
Event: cpu-clock:u (type 1, config 0)
Samples: 4693
Event count: 9386000000

Overhead  Symbol
0.26%     tlb_set_page_with_attrs_arm
0.26%     usleep
0.23%     BeachRuntime::arg(unsigned int)
0.23%     libdbgengine.so[+168f28]
0.23%     libdbgengine.so[+168f68]
0.23%     libdbgengine.so[+1739e0]
0.23%     libdbgengine.so[+1761b4]
0.23%     libdbgengine.so[+1764c4]
0.23%     tb_htable_lookup_arm
0.21%     !!!0000!549ea8902e635ab72c80a6e2899bb7!0c393b63cf!
0.21%     libdbgengine.so[+14fd24]
0.19%     __arm_za_disable
0.19%     __memmove_aarch64_simd
0.19%     libdbgengine.so[+175784]
0.17%     je_free
0.17%     libdbgengine.so[+168f64]
0.17%     libdbgengine.so[+173a20]
0.17%     libdbgengine.so[+175788]
0.17%     resume_all_vcpus_arm
0.15%     [linker]__strcmp_aarch64
0.15%     [linker]prctl
0.15%     [linker]soinfo::gnu_lookup(SymbolName&, version_info const*) const
0.15%     libdbgengine.so[+14fcbc]
0.15%     libdbgengine.so[+168e04]
0.15%     libdbgengine.so[+168e14]
0.15%     libdbgengine.so[+168f58]
0.15%     libdbgengine.so[+173ab0]
0.15%     libdbgengine.so[+17649c]
0.15%     libdbgengine.so[+1764d4]
0.15%     libdbgengine.so[+176518]
0.15%     std::__ndk1::pair<std::__ndk1::__hash_iterator<std::__ndk1::__hash_node<std::__ndk1::__hash_value_type<unsigned int, unsigned int>, void*>*>, bool> std::__ndk1::__hash_table<std::__ndk1::__hash_value_type<unsigned int, unsigned int>, std::__ndk1::__unordered_map_hasher<unsigned int, std::__ndk1::__hash_value_type<unsigned int, unsigned int>, std::__ndk1::hash<unsigned int>, std::__ndk1::equal_to<unsigned int>, true>, std::__ndk1::__unordered_map_equal<unsigned int, std::__ndk1::__hash_value_type<unsigned int, unsigned int>, std::__ndk1::equal_to<unsigned int>, std::__ndk1::hash<unsigned int>, true>, std::__ndk1::allocator<std::__ndk1::__hash_value_type<unsigned int, unsigned int> > >::__emplace_unique_key_args<unsigned int, std::__ndk1::piecewise_construct_t const&, std::__ndk1::tuple<unsigned int&&>, std::__ndk1::tuple<> >(unsigned int const&, std::__ndk1::piecewise_construct_t const&, std::__ndk1::tuple<unsigned int&&>&&, std::__ndk1::tuple<>&&)
0.13%     !!!0000!27cfa9c4f678aab378426238075487!0c393b63cf!
0.13%     !!!0000!6d23e9ca448e72be157150b8897120!0c393b63cf!
0.13%     !!!0000!903e3993fbfd3be959c1d8523f26ab!0c393b63cf!
0.13%     !!!0000!a04c921cdd9a9cb13edd1ede32d049!0c393b63cf!
0.13%     [linker]NonPI::MutexLockWithTimeout(pthread_mutex_internal_t*, bool, timespec const*)
0.13%     [linker]ScopedTrace::~ScopedTrace()
