Cmdline: /system/bin/simpleperf record --app com.dualboot.apps.beach --add-meta-info app_type=debuggable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -p 10208 -e cpu-clock:u -f 500 --call-graph fp --duration 12
Arch: arm64
Event: cpu-clock:u (type 1, config 0)
Samples: 4693
Event count: 9386000000

Overhead  Symbol
0.02%     !!!0000!772d3ff0f6cde99496b2b99c9bec39!0c393b63cf!
0.02%     !!!0000!788a94b791f481718be1df9bbb4860!0c393b63cf!
0.02%     !!!0000!78da4cffff0e31ce7be3088d58dd9b!0c393b63cf!
0.02%     !!!0000!7c7d27f349a1036294f065b03fe325!0c393b63cf!
0.02%     !!!0000!7e796c63e4edabb2b87a9e51065729!0c393b63cf!
0.02%     !!!0000!815b8cb62190c7cd7725f0840561e0!0c393b63cf!
0.02%     !!!0000!845b688cb6a94d37ea988540c34d0f!0c393b63cf!
0.02%     !!!0000!856200424c5d04e6e82fc0754ffec1!0c393b63cf!
0.02%     !!!0000!85f42054997b299e9ff39dbb7ce95f!0c393b63cf!
0.02%     !!!0000!8623776ffddf34255a74f088939c29!0c393b63cf!
0.02%     !!!0000!884733ad7a9a037f3075be8d50344d!0c393b63cf!
0.02%     !!!0000!9301d09420d4d25f5f3d295684c79d!0c393b63cf!
0.02%     !!!0000!95d55d73510cb3d327167f44915fb4!0c393b63cf!
0.02%     !!!0000!95f8587b8dc4740e643a11aa039608!0c393b63cf!
0.02%     !!!0000!982800cb26dc0d30c0f852c5e6c027!0c393b63cf!
0.02%     !!!0000!a04f66548760d02f4f93d8bb21528e!0c393b63cf!
0.02%     !!!0000!ac666bdbebdb89d848509ce1aad37d!0c393b63cf!
0.02%     !!!0000!b102b15dbadf2a42afb116516bd81f!0c393b63cf!
0.02%     !!!0000!ba0df51eb62643c1c29eee8c1379ac!0c393b63cf!
0.02%     !!!0000!be477a72a9f5e52f97cf89b2ce9094!0c393b63cf!
0.02%     !!!0000!be68b3e30f54f133dab5e0a9e8974b!0c393b63cf!
0.02%     !!!0000!c0b9ede5642f6e6ac225a78cdbee30!0c393b63cf!
0.02%     !!!0000!c0bdbccd34c2d6d6e41f30e3377faf!0c393b63cf!
0.02%     !!!0000!c95701cabcd5c2765b631dd35800a3!0c393b63cf!
0.02%     !!!0000!c99769698e9f44ac9ce8386a20a50a!0c393b63cf!
0.02%     !!!0000!d3788dd45dc32101b56815d10065ce!0c393b63cf!
0.02%     !!!0000!d60920bc6ab5366bb2bb9b209bf0f9!0c393b63cf!
0.02%     !!!0000!dabab5e9d17b6af10824ebeae62750!0c393b63cf!
0.02%     !!!0000!e114df8606e4f838536d985ffc10f8!0c393b63cf!
0.02%     !!!0000!e42fb55224935e481dc66f8b9bf790!0c393b63cf!
0.02%     !!!0000!e43e08ed49b140ba26464ab3341b20!0c393b63cf!
0.02%     !!!0000!e655021b9ab1db638fdcf77313616e!0c393b63cf!
0.02%     !!!0000!e94336f9c3a8e90238c7c8557996da!0c393b63cf!
0.02%     !!!0000!ea5a6408884608b8bf75be2039eefa!0c393b63cf!
0.02%     !!!0000!ea89291d6e4054bb90cdb1e2983e71!0c393b63cf!
0.02%     !!!0000!ede93666e4f032b9f70c12586cf138!0c393b63cf!
0.02%     !!!0000!f66443e17c15da34b79cb5948b9419!0c393b63cf!
0.02%     !!!0000!fa1436a741de9e7b46e1df196905b9!0c393b63cf!
0.02%     !!!0000!fbfd755f2c69d7e076f71cce5cb5cf!0c393b63cf!
0.02%     !!!0000!fc8a0cb2308a64e3df6921b953244d!0c393b63cf!
0.02%     BeachRuntime::execute(unsigned int, std::__ndk1::vector<unsigned int, std::__ndk1::allocator<unsigned int> > const&)
0.02%     BeachRuntime::farg(unsigned int)
0.02%     BeachRuntime::heapBytes() const
0.02%     EglSubDriverHelperEglPixelFormatIsYUV
0.02%     EglSubDriverHelperEglPixelFormatNumPlanes
0.02%     FdTableImpl<128ul>::at(unsigned long)
0.02%     NterpGetInstanceFieldOffset
0.02%     ScopedTrace::ScopedTrace(char const*)
0.02%     [linker]BionicAllocator::alloc(unsigned long)
0.02%     [linker]ParseProperty(std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > const&) (.__uniq.281908747986894654352698949476742515425)
0.02%     [linker]__aarch64_swp4_rel
0.02%     [linker]__system_property_area_serial
0.02%     [linker]__system_property_serial
0.02%     [linker]is_symbol_global_and_defined(soinfo const*, elf64_sym const*)
0.02%     [linker]operator delete(void*, unsigned long)
0.02%     __dup
0.02%     __strncmp_aarch64
0.02%     __system_property_serial
0.02%     a7x_compute_aligned_height
0.02%     address_space_translate_for_iotlb_arm
0.02%     adreno_get_bpp
0.02%     android::BLASTBufferQueue::acquireNextBufferLocked(std::__1::optional<android::SurfaceComposerClient::Transaction*>)
0.02%     android::BLASTBufferQueue::releaseBuffer(android::ReleaseCallbackId const&, android::sp<android::Fence> const&)
0.02%     android::BpSurfaceComposer::setTransactionState(android::TransactionState&&)
0.02%     android::BufferQueue::ProxyConsumerListener::addAndGetFrameTimestamps(android::NewFrameEventsEntry const*, android::FrameEventHistoryDelta*)
0.02%     android::BufferQueueConsumer::acquireBuffer(android::BufferItem*, long, unsigned long)
0.02%     android::BufferQueueConsumer::releaseBuffer(int, unsigned long, android::sp<android::Fence> const&, void*, void*)
0.02%     android::BufferQueueConsumer::releaseBuffer(int, unsigned long, void*, void*, android::sp<android::Fence> const&)
0.02%     android::BufferQueueProducer::queueBuffer(int, android::IGraphicBufferProducer::QueueBufferInput const&, android::IGraphicBufferProducer::QueueBufferOutput*)
0.02%     android::CallbackId::writeToParcel(android::Parcel*) const
0.02%     android::ComposerState* std::__1::vector<android::ComposerState, std::__1::allocator<android::ComposerState> >::__push_back_slow_path<android::ComposerState const&>(android::ComposerState const&)
0.02%     android::ConsumerBase::releaseBufferLocked(int, android::sp<android::GraphicBuffer>, void*, void*)
0.02%     android::IPCThreadState::joinThreadPool(bool)
0.02%     android::Parcel::readPointer() const
0.02%     android::ProcessState::lookupHandleLocked(int)
0.02%     android::RefBase::decStrong(void const*) const
0.02%     android::RefBase::weakref_type::attemptIncStrong(void const*)
0.02%     android::RefBase::weakref_type::decWeak(void const*)
0.02%     android::Surface::ProducerListenerProxy::onBufferReleased()
0.02%     android::SurfaceComposerClient::Transaction::setAutoRefresh(android::sp<android::SurfaceControl> const&, bool)
0.02%     android::SurfaceControl::isSameSurface(android::sp<android::SurfaceControl> const&, android::sp<android::SurfaceControl> const&)
0.02%     android::SurfaceControl::resolveFrameNumber(std::__1::optional<unsigned long> const&)
0.02%     android::TransactionCompletedListener::popReleaseBufferCallbackLocked(android::ReleaseCallbackId const&)
0.02%     android::TransactionCompletedListener::setReleaseBufferCallback(android::ReleaseCallbackId const&, std::__1::function<void (android::ReleaseCallbackId const&, android::sp<android::Fence> const&, std::__1::optional<unsigned int>)>)
0.02%     android::VectorImpl::_grow(unsigned long, unsigned long)
0.02%     android::VectorImpl::clear()
0.02%     android::eglGetCurrentContextImpl()
0.02%     android::egl_get_connection()
0.02%     android::findMatchingStat(std::__1::vector<android::SurfaceControlStats, std::__1::allocator<android::SurfaceControlStats> > const&, android::sp<android::SurfaceControl> const&) (.__uniq.45450631312074835429881721991590974130)
0.02%     android::glGetIntegervImpl(unsigned int, int*)
0.02%     android::gralloc4::validateMetadataType(android::gralloc4::InputHidlVec*, android::hardware::graphics::mapper::V4_0::IMapper::MetadataType const&)
0.02%     android::internal::Stability::getRepr(android::IBinder*)
0.02%     android::properties::PropertyInfoArea::GetPropertyInfoIndexes(char const*, unsigned int*, unsigned int*) const
0.02%     android::validate_display(void*)
0.02%     android_fdsan_create_owner_tag
0.02%     arena_bin_lower_slab
0.02%     arm_cpu_tlb_fill_arm
0.02%     art::(anonymous namespace)::CheckJNI::GetStringUTFChars(_JNIEnv*, _jstring*, unsigned char*) (.__uniq.99033978352804627313491551960229047428.llvm.2767055871950999953)
0.02%     art::(anonymous namespace)::ScopedCheck::Check(art::ScopedObjectAccess&, bool, char const*, art::(anonymous namespace)::JniValueType*) (.__uniq.99033978352804627313491551960229047428)
0.02%     art::(anonymous namespace)::ScopedCheck::CheckFieldAccess(art::ScopedObjectAccess&, _jobject*, _jfieldID*, bool, art::Primitive::Type) (.__uniq.99033978352804627313491551960229047428)
0.02%     art::(anonymous namespace)::ScopedCheck::CheckFieldID(_jfieldID*, art::ObjPtr<art::mirror::Class>) (.__uniq.99033978352804627313491551960229047428)
0.02%     art::NotifyGetField(art::ObjPtr<art::mirror::Class>&, art::ArtField*, _jobject*) (.__uniq.267287648927189358846131613051554877057)
0.02%     art::jit::Jit::MaybeDoOnStackReplacement(art::Thread*, art::ArtMethod*, unsigned int, int, art::JValue*)
0.02%     artQuickGenericJniEndTrampoline
0.02%     clock_gettime
0.02%     com.dualboot.c.g.c
0.02%     compute_fmt_minimal_aligned_width_and_height
0.02%     cpu_exit
0.02%     decltype(auto) std::__1::__variant_detail::__visitation::__base::__dispatcher<0ul>::__dispatch[abi:nn200000]<void std::__1::__variant_detail::__ctor<std::__1::__variant_detail::__traits<long, android::sp<android::Fence> > >::__generic_construct[abi:nn200000]<std::__1::__variant_detail::__copy_constructor<std::__1::__variant_detail::__traits<long, android::sp<android::Fence> >, (std::__1::__variant_detail::_Trait)1> const&>(std::__1::__variant_detail::__ctor<std::__1::__variant_detail::__traits<long, android::sp<android::Fence> > >&, std::__1::__variant_detail::__copy_constructor<std::__1::__variant_detail::__traits<long, android::sp<android::Fence> >, (std::__1::__variant_detail::_Trait)1> const&)::'lambda'(std::__1::__variant_detail::__copy_constructor<std::__1::__variant_detail::__traits<long, android::sp<android::Fence> >, (std::__1::__variant_detail::_Trait)1> const&)&&, std::__1::__variant_detail::__base<(std::__1::__variant_detail::_Trait)1, long, android::sp<android::Fence> > const&>(std::__1::__variant_detail::__copy_constructor<std::__1::__variant_detail::__traits<long, android::sp<android::Fence> >, (std::__1::__variant_detail::_Trait)1> const&, std::__1::__variant_detail::__base<(std::__1::__variant_detail::_Trait)1, long, android::sp<android::Fence> > const&)
0.02%     eglSubDriverAndroid.so[+10454]
0.02%     eglSubDriverAndroid.so[+10818]
0.02%     eglSubDriverAndroid.so[+108c0]
0.02%     eglSubDriverAndroid.so[+12028]
0.02%     eglSubDriverAndroid.so[+e910]
0.02%     float32_div_arm
0.02%     float32_sqrt_arm
0.02%     float64_add_arm
0.02%     float64_div_arm
0.02%     free
0.02%     getMetaDataVa.cfi
0.02%     get_page_addr_code_arm
0.02%     glBindTexture
0.02%     glColorMask
0.02%     glDepthMask
0.02%     glDepthRangef
0.02%     glDisable
0.02%     glDisableVertexAttribArray
0.02%     glDrawElements
0.02%     glEnableVertexAttribArray
0.02%     glFrontFace
0.02%     glGetIntegerv
0.02%     glTexParameteri
0.02%     glUniform1i
0.02%     glUniform2fv
0.02%     glUseProgram
0.02%     glVertexAttrib4fv
0.02%     glViewport
0.02%     gralloc::GetBppForUncompressedRGB(int) (.cfi)
0.02%     gralloc::GetBufferSizeAndDimensions(gralloc::BufferInfo const&, unsigned int*, unsigned int*, unsigned int*) (.cfi)
0.02%     gralloc::IsUBwcEnabled(int, unsigned long) (.cfi)
0.02%     gsl_command_issueib_sync
0.02%     gsl_context_base_next_timestamp
0.02%     helper_cpsr_write_arm
0.02%     helper_le_stq_mmu_arm
0.02%     helper_vfp_fcvtds_arm
0.02%     helper_vfp_muld_arm
0.02%     helper_vfp_muls_arm
0.02%     helper_vfp_negd_arm
0.02%     helper_vfp_subs_arm
0.02%     int android::Parcel::readAligned<float>(float*) const
0.02%     int art::__sigprocmask<sigset_t>(int, sigset_t const*, sigset_t*, int (*)(int, sigset_t const*, sigset_t*))
0.02%     ioctl_kgsl_gpu_command
0.02%     java.nio.ByteOrder.nativeOrder
0.02%     java.util.ArrayList.size
0.02%     java.util.TreeMap.getEntry
0.02%     java.util.concurrent.atomic.AtomicBoolean.get
0.02%     java.util.concurrent.locks.AbstractQueuedLongSynchronizer.release
0.02%     je_arena_cache_bin_fill_small
0.02%     je_arena_ralloc_no_move
0.02%     je_edata_heap_first
0.02%     je_emap_update_edata_state
0.02%     je_prof_prefork0
0.02%     je_te_event_trigger
0.02%     libEGL_adreno.so[+524c]
0.02%     libEGL_adreno.so[+5268]
0.02%     libEGL_adreno.so[+526c]
0.02%     libEGL_adreno.so[+5274]
0.02%     libEGL_adreno.so[+5278]
0.02%     libEGL_adreno.so[+5280]
0.02%     libEGL_adreno.so[+52c8]
0.02%     libEGL_adreno.so[+52d8]
0.02%     libEGL_adreno.so[+52dc]
0.02%     libEGL_adreno.so[+52f8]
0.02%     libEGL_adreno.so[+5384]
0.02%     libdbgengine.so[+14d3cc]
0.02%     libdbgengine.so[+14fcb8]
0.02%     libdbgengine.so[+14fcc0]
0.02%     libdbgengine.so[+14fcc4]
0.02%     libdbgengine.so[+14fcc8]
0.02%     libdbgengine.so[+14fcd0]
0.02%     libdbgengine.so[+14fce8]
0.02%     libdbgengine.so[+14fcec]
0.02%     libdbgengine.so[+14fd18]
0.02%     libdbgengine.so[+14fd1c]
0.02%     libdbgengine.so[+157248]
0.02%     libdbgengine.so[+1575f0]
0.02%     libdbgengine.so[+15b968]
0.02%     libdbgengine.so[+15b980]
0.02%     libdbgengine.so[+15c3e0]
0.02%     libdbgengine.so[+15c400]
0.02%     libdbgengine.so[+15cbdc]
0.02%     libdbgengine.so[+15d0c0]
0.02%     libdbgengine.so[+15d478]
0.02%     libdbgengine.so[+15d4c0]
0.02%     libdbgengine.so[+15dd78]
0.02%     libdbgengine.so[+15ddd0]
0.02%     libdbgengine.so[+15e1d8]
0.02%     libdbgengine.so[+15fd08]
0.02%     libdbgengine.so[+160158]
0.02%     libdbgengine.so[+1601d0]
0.02%     libdbgengine.so[+160434]
0.02%     libdbgengine.so[+160500]
0.02%     libdbgengine.so[+160504]
0.02%     libdbgengine.so[+160598]
0.02%     libdbgengine.so[+1606f0]
0.02%     libdbgengine.so[+160b1c]
0.02%     libdbgengine.so[+160ce8]
0.02%     libdbgengine.so[+1613c0]
0.02%     libdbgengine.so[+1613c4]
0.02%     libdbgengine.so[+1613d4]
0.02%     libdbgengine.so[+161400]
0.02%     libdbgengine.so[+161404]
0.02%     libdbgengine.so[+1616ac]
0.02%     libdbgengine.so[+1616b4]
0.02%     libdbgengine.so[+1617d0]
0.02%     libdbgengine.so[+16189c]
0.02%     libdbgengine.so[+166ac4]
0.02%     libdbgengine.so[+166acc]
0.02%     libdbgengine.so[+168024]
0.02%     libdbgengine.so[+168dfc]
0.02%     libdbgengine.so[+168e00]
0.02%     libdbgengine.so[+168e20]
0.02%     libdbgengine.so[+168e24]
0.02%     libdbgengine.so[+168e2c]
0.02%     libdbgengine.so[+168efc]
0.02%     libdbgengine.so[+168f2c]
0.02%     libdbgengine.so[+168f40]
0.02%     libdbgengine.so[+168f54]
0.02%     libdbgengine.so[+168f74]
0.02%     libdbgengine.so[+1732a0]
0.02%     libdbgengine.so[+1732b0]
0.02%     libdbgengine.so[+173368]
0.02%     libdbgengine.so[+17341c]
0.02%     libdbgengine.so[+1739f4]
0.02%     libdbgengine.so[+1739fc]
0.02%     libdbgengine.so[+173a10]
0.02%     libdbgengine.so[+173a18]
0.02%     libdbgengine.so[+173a24]
0.02%     libdbgengine.so[+173a48]
0.02%     libdbgengine.so[+173a50]
0.02%     libdbgengine.so[+173a80]
0.02%     libdbgengine.so[+173a88]
0.02%     libdbgengine.so[+173a9c]
0.02%     libdbgengine.so[+173aa4]
0.02%     libdbgengine.so[+173aac]
0.02%     libdbgengine.so[+173ac8]
0.02%     libdbgengine.so[+173ad4]
0.02%     libdbgengine.so[+174300]
0.02%     libdbgengine.so[+174338]
0.02%     libdbgengine.so[+174340]
0.02%     libdbgengine.so[+1744a0]
0.02%     libdbgengine.so[+17452c]
0.02%     libdbgengine.so[+17455c]
0.02%     libdbgengine.so[+1745f0]
0.02%     libdbgengine.so[+1749a0]
0.02%     libdbgengine.so[+174b98]
0.02%     libdbgengine.so[+174cfc]
0.02%     libdbgengine.so[+174d34]
0.02%     libdbgengine.so[+174ecc]
0.02%     libdbgengine.so[+174edc]
0.02%     libdbgengine.so[+17570c]
0.02%     libdbgengine.so[+175710]
0.02%     libdbgengine.so[+175724]
0.02%     libdbgengine.so[+17572c]
0.02%     libdbgengine.so[+175734]
0.02%     libdbgengine.so[+175740]
0.02%     libdbgengine.so[+17574c]
0.02%     libdbgengine.so[+175754]
0.02%     libdbgengine.so[+175760]
0.02%     libdbgengine.so[+175770]
0.02%     libdbgengine.so[+175774]
0.02%     libdbgengine.so[+17577c]
0.02%     libdbgengine.so[+175780]
0.02%     libdbgengine.so[+1757c4]
0.02%     libdbgengine.so[+175804]
0.02%     libdbgengine.so[+175808]
0.02%     libdbgengine.so[+17581c]
0.02%     libdbgengine.so[+175824]
0.02%     libdbgengine.so[+1759cc]
0.02%     libdbgengine.so[+1759ec]
0.02%     libdbgengine.so[+1759f0]
0.02%     libdbgengine.so[+175ac8]
0.02%     libdbgengine.so[+175fac]
0.02%     libdbgengine.so[+17605c]
0.02%     libdbgengine.so[+1764bc]
0.02%     libdbgengine.so[+1764c8]
0.02%     libdbgengine.so[+176504]
0.02%     libdbgengine.so[+17650c]
0.02%     libdbgengine.so[+176520]
0.02%     libdbgengine.so[+176538]
0.02%     libdbgengine.so[+17a15c]
0.02%     libdbgengine.so[+17a194]
0.02%     libdbgengine.so[+17a1c8]
0.02%     libdbgengine.so[+17a1d0]
0.02%     libdbgengine.so[+17a944]
0.02%     libdbgengine.so[+17bd90]
0.02%     libdbgengine.so[+17c768]
0.02%     libdbgengine.so[+17d158]
0.02%     libdbgengine.so[+17d168]
0.02%     libdbgengine.so[+17df44]
0.02%     libdbgengine.so[+1838e8]
0.02%     libdbgengine.so[+183a3c]
0.02%     libdbgengine.so[+183a80]
0.02%     libdbgengine.so[+18550c]
0.02%     libdbgengine.so[+1a3f5c]
0.02%     libdbgengine.so[+1a3f60]
0.02%     libdbgengine.so[+1a6a50]
0.02%     libdbgengine.so[+1a6a58]
0.02%     libdbgengine.so[+1a8088]
0.02%     libdbgengine.so[+1a8098]
0.02%     libdbgengine.so[+1a80ec]
0.02%     libdbgengine.so[+1a8180]
0.02%     libdbgengine.so[+1b02f0]
0.02%     libdbgengine.so[+1b9f80]
0.02%     libdbgengine.so[+1ba380]
0.02%     libdbgengine.so[+1cc78c]
0.02%     libdbgengine.so[+1cc83c]
0.02%     libdbgengine.so[+1cc850]
0.02%     libdbgengine.so[+1cedcc]
0.02%     libdbgengine.so[+1cedd0]
0.02%     libdbgengine.so[+1cedd4]
0.02%     libdbgengine.so[+1cedd8]
0.02%     libdbgengine.so[+1cede4]
0.02%     libdbgengine.so[+1cedf0]
0.02%     libdbgengine.so[+1cee04]
0.02%     libdbgengine.so[+1cee14]
0.02%     libdbgengine.so[+1cee18]
0.02%     libdbgengine.so[+1cee28]
0.02%     libdbgengine.so[+1d0718]
0.02%     libdbgengine.so[+1d51ac]
0.02%     libdbgengine.so[+1d5c40]
0.02%     libdbgengine.so[+2272c8]
0.02%     libdbgengine.so[+228370]
0.02%     libdbgengine.so[+228388]
0.02%     libdbgengine.so[+2283f0]
0.02%     libdbgengine.so[+228400]
0.02%     libdbgengine.so[+228414]
0.02%     libdbgengine.so[+228418]
0.02%     libdbgengine.so[+228424]
0.02%     libdbgengine.so[+22845c]
0.02%     linker64[+1653c0]
0.02%     linker64[+1653c4]
0.02%     linker64[+1653f4]
0.02%     linker64[+165428]
0.02%     linker64[+165440]
0.02%     linker64[+165454]
0.02%     memory_region_get_ram_addr_arm
0.02%     memory_region_get_ram_ptr_arm
0.02%     memtag_handle_longjmp
0.02%     mmap64
0.02%     munmap
0.02%     operator delete(void*, unsigned long)
0.02%     operator new[](unsigned long)
0.02%     pthread_cond_broadcast
0.02%     pthread_create
0.02%     pthread_exit
0.02%     qemu_map_ram_ptr_arm
0.02%     sigaltstack
0.02%     std::__1::__function::__func<android::BLASTBufferQueue::makeTransactionCallbackThunk()::$_0, std::__1::allocator<android::BLASTBufferQueue::makeTransactionCallbackThunk()::$_0>, void (void*, long, android::sp<android::Fence> const&, std::__1::vector<android::SurfaceControlStats, std::__1::allocator<android::SurfaceControlStats> > const&)>::operator()(void*&&, long&&, android::sp<android::Fence> const&, std::__1::vector<android::SurfaceControlStats, std::__1::allocator<android::SurfaceControlStats> > const&) (.__uniq.45450631312074835429881721991590974130.9ca72872025854168a66e857f676baf9)
0.02%     std::__1::__function::__func<android::BufferQueueConsumer::setMaxAcquiredBufferCount(int, std::__1::optional<std::__1::function<void ()> >)::$_0, std::__1::allocator<android::BufferQueueConsumer::setMaxAcquiredBufferCount(int, std::__1::optional<std::__1::function<void ()> >)::$_0>, void ()>::destroy_deallocate() (.__uniq.55350508245921489872194751198249379487.0e3c171780e2a67d567a241ec34e07af)
0.02%     std::__1::__function::__func<vendor::qti::hardware::display::mapperextensions::V1_2::BsQtiMapperExtensions::getId(void*, std::__1::function<void (vendor::qti::hardware::display::mapperextensions::V1_0::Error, unsigned long)>)::'lambda'(auto const&, auto const&), std::__1::allocator<vendor::qti::hardware::display::mapperextensions::V1_2::BsQtiMapperExtensions::getId(void*, std::__1::function<void (vendor::qti::hardware::display::mapperextensions::V1_0::Error, unsigned long)>)::'lambda'(auto const&, auto const&)>, void (vendor::qti::hardware::display::mapperextensions::V1_0::Error, unsigned long)>::destroy()
0.02%     std::__1::__shared_mutex_base::lock_shared()
0.02%     std::__1::mutex::lock()
0.02%     std::__ndk1::__num_put<char>::__widen_and_group_int(char*, char*, char*, char*, char*&, char*&, std::__ndk1::locale const&)
0.02%     std::__ndk1::__wrap_iter<unsigned int*> std::__ndk1::vector<unsigned int, std::__ndk1::allocator<unsigned int> >::__insert_with_size[abi:ne180000]<unsigned int const*, unsigned int const*>(std::__ndk1::__wrap_iter<unsigned int const*>, unsigned int const*, unsigned int const*, long)
0.02%     std::__ndk1::basic_string<char, std::__ndk1::char_traits<char>, std::__ndk1::allocator<char> > std::__ndk1::operator+<char, std::__ndk1::char_traits<char>, std::__ndk1::allocator<char> >(char const*, std::__ndk1::basic_string<char, std::__ndk1::char_traits<char>, std::__ndk1::allocator<char> > const&)
0.02%     std::__ndk1::basic_string<char, std::__ndk1::char_traits<char>, std::__ndk1::allocator<char> >::insert(unsigned long, char const*, unsigned long)
0.02%     std::__ndk1::basic_stringbuf<char, std::__ndk1::char_traits<char>, std::__ndk1::allocator<char> >::str() const
0.02%     std::__ndk1::num_put<char, std::__ndk1::ostreambuf_iterator<char, std::__ndk1::char_traits<char> > >::do_put(std::__ndk1::ostreambuf_iterator<char, std::__ndk1::char_traits<char> >, std::__ndk1::ios_base&, char, unsigned long) const
0.02%     std::__ndk1::this_thread::sleep_for(std::__ndk1::chrono::duration<long long, std::__ndk1::ratio<1l, 1000000000l> > const&)
0.02%     syscall
0.02%     tcg_gen_callN_arm
0.02%     tcg_op_supported_arm
0.02%     tcg_tb_insert_arm
0.02%     trace_begin_internal(char const*)
0.02%     uc_emu_start
0.02%     unknown[+748000b140]
0.02%     unknown[+748000d1dc]
0.02%     unknown[+748000ee40]
0.02%     unknown[+7480010000]
0.02%     unknown[+748001057c]
0.02%     unknown[+7480011680]
0.02%     unknown[+7480011e80]
0.02%     unknown[+74800122c0]
0.02%     unknown[+74800128e4]
0.02%     unknown[+7480013c80]
0.02%     unknown[+7480016480]
0.02%     unknown[+74800165ec]
0.02%     unknown[+7480016940]
0.02%     unknown[+7480019bfc]
0.02%     unknown[+7480019fac]
0.02%     unknown[+748001aa2c]
0.02%     unknown[+748001b780]
0.02%     unknown[+748001c980]
0.02%     unknown[+748001cb24]
0.02%     unknown[+748001cc68]
0.02%     unknown[+748001d524]
0.02%     unknown[+748001db00]
0.02%     unknown[+748001dc00]
0.02%     unknown[+748001ec80]
0.02%     unknown[+748001f740]
0.02%     unknown[+748001f86c]
0.02%     unknown[+74800212c0]
0.02%     unknown[+7480022544]
0.02%     unknown[+7480022f8c]
0.02%     unknown[+7480024180]
0.02%     unknown[+748002c144]
0.02%     unknown[+748002e644]
0.02%     unknown[+7480033cd0]
0.02%     unknown[+7480038080]
0.02%     unknown[+7480038ed8]
0.02%     unknown[+748007de04]
0.02%     unknown[+748007ea80]
0.02%     unknown[+748007ea9c]
0.02%     unknown[+748007eea8]
0.02%     unknown[+748007f0f0]
0.02%     unknown[+748007f3e4]
0.02%     unknown[+748007f75c]
0.02%     unknown[+748007fa40]
0.02%     unknown[+748007faa0]
0.02%     unknown[+748007fe54]
0.02%     unknown[+748007fec4]
0.02%     unknown[+748007ff0c]
0.02%     unknown[+748007ff4c]
0.02%     unknown[+748007ffac]
0.02%     unknown[+74800800c0]
0.02%     unknown[+74800803a8]
0.02%     unknown[+7480080528]
0.02%     unknown[+7480080674]
0.02%     unknown[+74800806fc]
0.02%     unknown[+7480080a00]
0.02%     unknown[+7480080d40]
0.02%     unknown[+7480080d60]
0.02%     unknown[+7480080d90]
0.02%     unknown[+7480080f24]
0.02%     unknown[+748008102c]
0.02%     unknown[+7480081044]
0.02%     unknown[+7480081090]
0.02%     unknown[+74800810ac]
0.02%     unknown[+7480081280]
0.02%     unknown[+7480081504]
0.02%     unknown[+7480081518]
0.02%     unknown[+748008156c]
0.02%     unknown[+74800816cc]
0.02%     unknown[+74800819c0]
0.02%     unknown[+7480081a94]
0.02%     unknown[+7480081bd8]
0.02%     unknown[+7480081bdc]
0.02%     unknown[+7480081fac]
0.02%     unknown[+7480082080]
0.02%     unknown[+74800823c0]
0.02%     unknown[+7480082444]
0.02%     unknown[+7480082458]
0.02%     unknown[+7480082a80]
0.02%     unknown[+7480082b38]
0.02%     unknown[+7480082bd4]
0.02%     unknown[+748008595c]
0.02%     unknown[+7480085d08]
0.02%     unknown[+7480085d20]
0.02%     unknown[+7480085e7c]
0.02%     unknown[+7480085eec]
0.02%     unknown[+748008618c]
0.02%     unknown[+74800863ec]
0.02%     unknown[+7480086470]
0.02%     unknown[+748008662c]
0.02%     unknown[+7480086634]
0.02%     unknown[+7480086b54]
0.02%     unknown[+7480086fc8]
0.02%     unknown[+748008a7f4]
0.02%     unknown[+7480146ad0]
0.02%     unknown[+7480146be8]
0.02%     unknown[+7480146cec]
0.02%     unknown[+7480146d1c]
0.02%     unknown[+7480146d64]
0.02%     unknown[+7480146db0]
0.02%     unknown[+7480146dc8]
0.02%     unknown[+7480146e0c]
0.02%     unknown[+7480146e98]
0.02%     unknown[+7480146ec4]
0.02%     unknown[+7480146f58]
0.02%     unknown[+74801470f0]
0.02%     unknown[+7480147140]
0.02%     unknown[+7480147150]
0.02%     unknown[+7480147198]
0.02%     unknown[+74801471b0]
0.02%     unknown[+74801471dc]
0.02%     unknown[+74801472ac]
0.02%     unknown[+7480147408]
0.02%     unknown[+74801476bc]
0.02%     unknown[+74801476c0]
0.02%     unknown[+7480147750]
0.02%     unknown[+74801478ac]
0.02%     unknown[+7480147ab4]
0.02%     unknown[+748016677c]
0.02%     unknown[+7480186340]
0.02%     unknown[+74801e7d04]
0.02%     unknown[+74802204c4]
0.02%     unknown[+7480226044]
0.02%     unknown[+74802267f8]
0.02%     unknown[+7480226a6c]
0.02%     unknown[+7480226a84]
0.02%     unknown[+7480226b50]
0.02%     unknown[+7480227c90]
0.02%     unknown[+748022b480]
0.02%     unknown[+748022f0b0]
0.02%     unknown[+748022f11c]
0.02%     unknown[+7480248740]
0.02%     unknown[+74802487c0]
0.02%     unknown[+748024f094]
0.02%     unknown[+7480259150]
0.02%     unknown[+7480259590]
0.02%     unknown[+7480259b80]
0.02%     unknown[+748025a3b8]
0.02%     unknown[+748025a400]
0.02%     unknown[+748025af34]
