address	name	signature	status	file	diagnostic
0002e558	<EXTERNAL>::glTexParameterf	undefined glTexParameterf(void)	ok	functions/0002e558__EXTERNAL___glTexParameterf.c	
0002e564	<EXTERNAL>::glTexEnvfv	undefined glTexEnvfv(void)	ok	functions/0002e564__EXTERNAL___glTexEnvfv.c	
0002e570	<EXTERNAL>::glFogf	undefined glFogf(void)	ok	functions/0002e570__EXTERNAL___glFogf.c	
0002e57c	<EXTERNAL>::glFogfv	undefined glFogfv(void)	ok	functions/0002e57c__EXTERNAL___glFogfv.c	
0002e588	<EXTERNAL>::glCopyTexImage2D	undefined glCopyTexImage2D(void)	ok	functions/0002e588__EXTERNAL___glCopyTexImage2D.c	
0002e5a0	<EXTERNAL>::glDeleteBuffers	undefined glDeleteBuffers(void)	ok	functions/0002e5a0__EXTERNAL___glDeleteBuffers.c	
0002e5d0	<EXTERNAL>::glGetError	undefined glGetError(void)	ok	functions/0002e5d0__EXTERNAL___glGetError.c	
0002e5e8	<EXTERNAL>::glViewport	undefined glViewport(void)	ok	functions/0002e5e8__EXTERNAL___glViewport.c	
0002e5f4	<EXTERNAL>::glReadPixels	undefined glReadPixels(void)	ok	functions/0002e5f4__EXTERNAL___glReadPixels.c	
0002e600	<EXTERNAL>::glTexImage2D	undefined glTexImage2D(void)	ok	functions/0002e600__EXTERNAL___glTexImage2D.c	
0002e60c	<EXTERNAL>::glCompressedTexImage2D	undefined glCompressedTexImage2D(void)	ok	functions/0002e60c__EXTERNAL___glCompressedTexImage2D.c	
0002e618	<EXTERNAL>::glGetString	undefined glGetString(void)	ok	functions/0002e618__EXTERNAL___glGetString.c	
0002e624	<EXTERNAL>::glGetFloatv	undefined glGetFloatv(void)	ok	functions/0002e624__EXTERNAL___glGetFloatv.c	
0002e630	<EXTERNAL>::glVertexPointer	undefined glVertexPointer(void)	ok	functions/0002e630__EXTERNAL___glVertexPointer.c	
0002e63c	<EXTERNAL>::glColorPointer	undefined glColorPointer(void)	ok	functions/0002e63c__EXTERNAL___glColorPointer.c	
0002e654	<EXTERNAL>::strcasecmp	int strcasecmp(char * __s1, char * __s2)	ok	functions/0002e654__EXTERNAL___strcasecmp.c	
0002e660	<EXTERNAL>::lrand48	long lrand48(void)	ok	functions/0002e660__EXTERNAL___lrand48.c	
0002e66c	<EXTERNAL>::mktime	time_t mktime(tm * __tp)	ok	functions/0002e66c__EXTERNAL___mktime.c	
0002e678	<EXTERNAL>::difftime	double difftime(time_t __time1, time_t __time0)	ok	functions/0002e678__EXTERNAL___difftime.c	
0002e684	<EXTERNAL>::puts	int puts(char * __s)	ok	functions/0002e684__EXTERNAL___puts.c	
0002e690	<EXTERNAL>::abort	noreturn void abort(void)	ok	functions/0002e690__EXTERNAL___abort.c	
0002e69c	<EXTERNAL>::time	time_t time(time_t * __timer)	ok	functions/0002e69c__EXTERNAL___time.c	
0002e6a8	<EXTERNAL>::gmtime_r	tm * gmtime_r(time_t * __timer, tm * __tp)	ok	functions/0002e6a8__EXTERNAL___gmtime_r.c	
0002e6b4	<EXTERNAL>::localtime_r	tm * localtime_r(time_t * __timer, tm * __tp)	ok	functions/0002e6b4__EXTERNAL___localtime_r.c	
0002e6c0	<EXTERNAL>::clock_gettime	int clock_gettime(clockid_t __clock_id, timespec * __tp)	ok	functions/0002e6c0__EXTERNAL___clock_gettime.c	
0002e6d8	<EXTERNAL>::iswspace	int iswspace(wint_t __wc)	ok	functions/0002e6d8__EXTERNAL___iswspace.c	
0002e6e4	<EXTERNAL>::pthread_mutex_lock	int pthread_mutex_lock(pthread_mutex_t * __mutex)	ok	functions/0002e6e4__EXTERNAL___pthread_mutex_lock.c	
0002e6f0	<EXTERNAL>::pthread_cond_timedwait_monotonic_np	undefined pthread_cond_timedwait_monotonic_np(void)	ok	functions/0002e6f0__EXTERNAL___pthread_cond_timedwait_monotonic_np.c	
0002e6fc	<EXTERNAL>::pthread_mutex_unlock	int pthread_mutex_unlock(pthread_mutex_t * __mutex)	ok	functions/0002e6fc__EXTERNAL___pthread_mutex_unlock.c	
0002e708	<EXTERNAL>::sched_yield	int sched_yield(void)	ok	functions/0002e708__EXTERNAL___sched_yield.c	
0002e714	<EXTERNAL>::pthread_mutex_init	int pthread_mutex_init(pthread_mutex_t * __mutex, pthread_mutexattr_t * __mutexattr)	ok	functions/0002e714__EXTERNAL___pthread_mutex_init.c	
0002e720	<EXTERNAL>::pthread_cond_init	int pthread_cond_init(pthread_cond_t * __cond, pthread_condattr_t * __cond_attr)	ok	functions/0002e720__EXTERNAL___pthread_cond_init.c	
0002e72c	<EXTERNAL>::open	int open(char * __file, int __oflag, ...)	ok	functions/0002e72c__EXTERNAL___open.c	
0002e738	<EXTERNAL>::read	ssize_t read(int __fd, void * __buf, size_t __nbytes)	ok	functions/0002e738__EXTERNAL___read.c	
0002e750	<EXTERNAL>::memchr	void * memchr(void * __s, int __c, size_t __n)	ok	functions/0002e750__EXTERNAL___memchr.c	
0002e75c	<EXTERNAL>::memmem	void * memmem(void * __haystack, size_t __haystacklen, void * __needle, size_t __needlelen)	ok	functions/0002e75c__EXTERNAL___memmem.c	
0002e774	<EXTERNAL>::pthread_once	int pthread_once(pthread_once_t * __once_control, __init_routine * __init_routine)	ok	functions/0002e774__EXTERNAL___pthread_once.c	
0002e780	<EXTERNAL>::munmap	int munmap(void * __addr, size_t __len)	ok	functions/0002e780__EXTERNAL___munmap.c	
