address	name	signature	status	file	diagnostic
0006e040	STG::UPreference<STG::UStringBase<unsigned_short,unsigned_short>,true>::SetSelectedValueByName	undefined __thiscall SetSelectedValueByName(UPreference<STG::UStringBase<unsigned_short,unsigned_short>,true> * this, UStringBase * param_1)	ok	functions/0006e040_STG__UPreference_STG__UStringBase_unsigned_short_unsigned_short__true___SetSelectedValueByName.c	
0006e1b0	STG::UPreference<bool,true>::IsValueValid	undefined __thiscall IsValueValid(UPreference<bool,true> * this, UStringBase * param_1)	ok	functions/0006e1b0_STG__UPreference_bool_true___IsValueValid.c	
0006e310	STG::UPreference<bool,true>::SetSelectedValueByName	undefined __thiscall SetSelectedValueByName(UPreference<bool,true> * this, UStringBase * param_1)	ok	functions/0006e310_STG__UPreference_bool_true___SetSelectedValueByName.c	
0006e480	STG::UPreference<unsigned_long,true>::IsValueValid	undefined __thiscall IsValueValid(UPreference<unsigned_long,true> * this, UStringBase * param_1)	ok	functions/0006e480_STG__UPreference_unsigned_long_true___IsValueValid.c	
0006e5e0	STG::UPreference<unsigned_long,true>::SetSelectedValueByName	undefined __thiscall SetSelectedValueByName(UPreference<unsigned_long,true> * this, UStringBase * param_1)	ok	functions/0006e5e0_STG__UPreference_unsigned_long_true___SetSelectedValueByName.c	
0006e750	STG::UPreference<STG::UStringBase<unsigned_short,unsigned_short>,true>::IsValueValid	undefined __thiscall IsValueValid(UPreference<STG::UStringBase<unsigned_short,unsigned_short>,true> * this, UStringBase * param_1)	ok	functions/0006e750_STG__UPreference_STG__UStringBase_unsigned_short_unsigned_short__true___IsValueValid.c	
0006e8b0	STG::UPreferenceBase::UPreferenceBase	undefined __thiscall UPreferenceBase(UPreferenceBase * this)	ok	functions/0006e8b0_STG__UPreferenceBase__UPreferenceBase.c	
0006e930	STG::UStringBase<char,int>::Replace	undefined __thiscall Replace(UStringBase<char,int> * this, UStringBase * param_1, UStringBase * param_2)	ok	functions/0006e930_STG__UStringBase_char_int___Replace.c	
0006f100	STG::UPreference_WideString::PrintValue	undefined __thiscall PrintValue(UPreference_WideString * this, ulong param_1, UStringBase * param_2)	ok	functions/0006f100_STG__UPreference_WideString__PrintValue.c	
0006f360	STG::UPreference_String::PrintValue	undefined __thiscall PrintValue(UPreference_String * this, ulong param_1, UStringBase * param_2)	ok	functions/0006f360_STG__UPreference_String__PrintValue.c	
0006f440	STG::UPreference_Uint32::PrintValue	undefined __thiscall PrintValue(UPreference_Uint32 * this, ulong param_1, UStringBase * param_2)	ok	functions/0006f440_STG__UPreference_Uint32__PrintValue.c	
0006f6a0	STG::UPreference_Bool::PrintValue	undefined __thiscall PrintValue(UPreference_Bool * this, ulong param_1, UStringBase * param_2)	ok	functions/0006f6a0_STG__UPreference_Bool__PrintValue.c	
0006f910	STG::UPreferenceBase::GenerateDefaultKey	undefined __thiscall GenerateDefaultKey(UPreferenceBase * this)	ok	functions/0006f910_STG__UPreferenceBase__GenerateDefaultKey.c	
0006ff70	STG::UPreferenceBase::Initialize	undefined __thiscall Initialize(UPreferenceBase * this, UStringBase * param_1, UStringBase * param_2, UStringBase * param_3)	ok	functions/0006ff70_STG__UPreferenceBase__Initialize.c	
000701d0	STG::UPreference<STG::UStringBase<unsigned_short,unsigned_short>,true>::Initialize	undefined __thiscall Initialize(UPreference<STG::UStringBase<unsigned_short,unsigned_short>,true> * this, UStringBase * param_1, UStringBase * param_2, UStringBase * param_3, ulong param_4)	ok	functions/000701d0_STG__UPreference_STG__UStringBase_unsigned_short_unsigned_short__true___Initialize.c	
